GEOID,State,ED Cost,PO Cost,PMPM,EDs,HOs,POs,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,TotalChild,TotalAdult,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37141920204,NC,159175.9673,64236.81594,2641.492491,2118.646002,29.08937251,1261.537477,51.48114305,41.38002621,7.13883074,41.8293218,13.67382832,44.49684988,20.6,21434,38.1,7,Rural,719,1706,22.53317175,0.902494478,31.3682074,7,16,48,11.1,1.2342
37141920300,NC,293708.099,115038.7088,5056.30655,4084.102765,75.29399045,2246.670788,47.29854098,42.8201665,9.881292521,41.73877021,13.02525774,45.23597204,5.9,33441,19.8,7.6,Urban,786,3137,20.59408415,0.938163899,31.3682074,7,16,48,11.1,0.5031
37141920402,NC,231100.3087,84622.60734,3638.169936,2944.838407,43.60487539,1616.842296,48.80630602,42.25116853,8.942525447,40.63478556,13.28720078,46.07801367,10.8,36484,11.4,11.5,Urban,367,2951,19.41252377,0.825862696,31.3682074,7,16,48,11.1,1.0483
37141920403,NC,340694.7342,123750.0444,5307.809078,4295.455511,61.94531969,2356.3582,49.11097486,42.06008584,8.828939301,40.27676621,13.32847779,46.39475601,8,57228,10.8,19,Urban,806,2866,25,1,31.3682074,7,16,48,11.1,1.0483
37129012201,NC,189093.3927,74974.61685,2098.404274,3071.650353,35.92942133,1375.403462,91.04859335,0.511508951,8.439897698,43.75,14.0625,42.1875,6.5,46204,1.6,33.2,Urban,421,2563,14.0435181,0.449327904,86.98395098,7,20,79,10.6,1.3884
37129012202,NC,106512.0653,42231.51942,1181.984044,1730.191723,20.23823686,774.7339092,91.04859335,0.511508951,8.439897698,43.75,14.0625,42.1875,12.6,52963,11.1,43.1,Urban,704,2009,18.89299598,0.612478254,86.98395098,7,20,79,10.6,1.3884
37129012203,NC,24615.54197,22675.86373,589.6116826,477.157924,0.832341816,384.8626288,85.57128622,3.123519578,11.3051942,53.58255452,14.55412773,31.86331775,14.9,71068,2,47.3,Urban,267,1503,14.31870009,0.507187398,86.98395098,7,20,79,10.6,1.3884
37047931200,NC,891581.6151,408641.0577,13104.30009,15369.75896,190.3660704,9208.316122,48.48985397,44.58112129,6.929024741,33.96271868,11.60341238,54.43386893,9,21935,24,8.2,Urban,1532,5443,13.69851204,0.900974612,39.90422985,7,17,30,9.9,0.7596
37141920502,NC,196748.0127,65425.68957,2681.109152,2446.866684,23.18361974,1258.43903,46.16831761,43.67377403,10.15790837,40.54128903,13.98902992,45.46968105,7.1,34271,10.1,5.3,Urban,358,1727,25,1,31.3682074,7,16,48,11.1,1.1228
37141920103,NC,193520.8214,84000.16276,2486.143846,2133.490794,31.57639447,1592.615129,79.51249069,14.35337127,6.13413804,43.84758902,15.34974807,40.8026629,8.6,43411,2,17,Urban,768,3026,16.79560301,0.902166579,31.3682074,7,16,48,11.1,1.0769
37141920201,NC,275488.5,115803.1,3731.35,3016.65,43.75,2254.35,78.48101266,15.61181435,5.907172996,44.25711275,15.38461538,40.35827187,8,48875,7,36.8,Urban,971,3578,18.58792322,0.938920867,31.3682074,7,16,48,11.1,1.2342
37061090802,NC,270523.6024,100673.5532,5270.444539,4006.680571,82.87257832,1969.524386,33.86804185,54.93081208,11.20114607,42.59824883,14.49451994,42.90723122,13,32492,22.4,8,Rural,1543,4129,21.49711874,0.918878861,24.98625756,7,18,22,10,0.6969
37141920101,NC,19353.80767,9636.965157,185.7244715,220.0798621,3.551055317,163.476896,86.66666667,5.625,7.708333333,41.00719424,15.10791367,43.88489209,11.1,47574,1.6,65,Rural,34,377,18.44132341,0.930641573,31.3682074,7,16,48,11.1,1.0769
